id;uid;bdg_cod
1;5af4102f-fb6d-446d-b07e-b7a220db0043;Imperia Metal Intelligent
2;44928a6a-c972-4ef2-aaac-8747e12f0f87;Tuna
3;a74cc055-b375-499c-aacc-fc12a109fbd8;multi-byte Usability CSS
4;6cea2d15-2841-4879-bac2-c610c7ab890d;Archivio
5;ecfd481b-a35d-414c-96f9-d202d818d017;Bedfordshire Corporate Home
6;dc238a33-485f-480e-98e2-37d958c81f64;AGP
7;edd9964c-1d4a-4c51-b837-c360fa158616;invoice collaborative
8;03345ab8-ee3a-458a-8807-805a428a0907;Program Account
9;a98abdc3-a7cf-4559-b54c-a0582b840ddb;Fresh calculate
10;416a9d79-84bf-4a81-8082-0a3520e14525;full-range
