id;uid;grp_cod;grp_dsc
1;bff14fed-b03f-4b44-ab27-3b46b7480e63;Officer;feed Rubber
2;0817072d-cfa3-494b-b617-adb9dfd43b5a;Dynamic;synthesizing
3;25b8dbbe-8cdd-4baf-ae50-1dbe38f03d1d;sistematica bluetooth 24/7;Jewelery Timor-Leste back
4;09182b41-ec77-4843-9fed-bed1f66f4aa6;COM Strada;Product generate
5;cf0e53a2-cd41-4f4b-8553-5443c7f28e3e;Chicken;interface payment
6;2fb1ba50-ce92-43ec-af11-6cfeed1d5def;Korea protocol payment;Concrete
7;e4fb9945-f634-4e71-a937-958a410b1b39;magenta;Sports Via transmit
8;3134e73a-dbb1-4ae1-b3b5-f2c554156e6c;Lead Metal;deposit interfacce
9;1f8dfb28-315e-4827-8168-2db73f9b09b8;program Movies;olive Human
10;3721d559-6df0-495f-905e-f47d1f3ad17f;azure;generating Shoes
