id;uid;res_cod;res_dsc;bdg_uid;res_typ
1;3b8a8689-7fe9-4a13-8cbb-518f1a2d597a;Car Berkshire;Keyboard proattive virtual;75358;M
2;addc2b0b-b4b1-4818-a44a-e8ac3369c78f;Ball withdrawal;stabile;59026;M
3;337432f8-e277-4aaa-91cd-04fd8391e48a;Chief SDD;Malesia gold;64515;S
4;f788909a-cebe-4e43-876e-531030750e2a;generate implementate;Communications synthesize withdrawal;4758;S
5;02a6f4e8-a21b-4a7a-be0e-da102d22152d;Rubber Pistoia sintetizzate;Bedfordshire Coordinator;45474;M
6;c81e6ef8-1d96-4639-9418-934d2f5a477b;Cambridgeshire;Licensed;1361;S
7;863b40a7-60f6-4cfe-8fc7-552707fed43a;magenta Awesome;capacitor;7353;S
8;04977558-c0a6-449d-a79d-952173f6cea2;Granite Analyst bus;microchip quantify Cremona;47328;S
9;72b71718-6953-45e6-8575-a1ab7390cb5b;Sausages;estensibili Avon Peso;29747;H
10;471d3479-e13b-4b56-a3fa-64acccc8d928;Borders e-business;program haptic;66334;M
